ID,Aat2,Acon1,Acon5,Acy1,Anna,Baez,Baron_harkonnen,Beatles,Bertha,Black_Crow,Blackbird,Blue_Jay,C1,C147,C204,C21,C216_pigtail,C234,C259,C278_PT,C294,C316,C334,C367,C368_PigTail,C485,C487_PigTail,C536,Cactus_tree,Carey,Carnival,Cool_water,Coyote,Darwi_Odrade,Daytripper,Deadpool,Diamond_Joe,Emma_Frost,G3pdh1,Glass_onion_v2,Handy_dandy,Harvest,Heartland,i-109,i-113,i-114,i-120_PigTail,i-126,i-127,i-132,i-135,i129,Imagine,Jackstraw_PigTail,Jam_session,Jericho,Jerry-Garcia,Jokerman,Jude,Julia,Kitty_Pryde,Maggie_mae,Majesty,Miles_teg,Million_miles,Monkey,Mozambique,Neil_Young,Nettie_Moore,Pam,Percy,Pgm1,Piggies,Psylocke,Queen_jane,Ramble,red_ant,Sam_Stonev2,Seastones,Sinv-25,Sinv12,Siona,Sol-11,Sol-18,Sol-20,Sol-42f,Sol-49,Sol-6,Sol-J1,Sol-M2,Sol-M3,Starr,st_stephen,Sun_King,sunrise,Sway,Taxman,Tombstone_blues,Trouble,Tweedy,Walrus,Weight,Wigwam,Workingman_Blues,Yellow_submarine
30,0,NA,0,0,1,NA,NA,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,NA,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,NA,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,NA,1,0
31,1,NA,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,NA,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,0,NA,1,1,1,0,0,NA,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,NA,1,0
33,0,NA,NA,0,1,0,NA,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,NA,1,NA,1,NA,1,0,NA,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,NA,NA,NA,0,NA,1,1,1,0,0,NA,NA,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,NA,1,0,NA,1,0
34,0,NA,NA,0,1,NA,NA,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,NA,0,0,0,1,1,0,NA,0,1,NA,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,NA,1,0,NA,1,1,1,1,0,0,NA,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,NA,0,0,NA,0,0
35,1,NA,0,0,1,0,NA,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,NA,0,0,0,1,NA,1,NA,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,NA,NA,NA,0,NA,1,1,1,0,0,0,NA,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,NA,0,0,NA,1,1
37,0,NA,0,1,0,1,NA,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,NA,0,1,0,0,1,0,0,0,1,NA,0,1,0,1,1,1,0,NA,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,NA,0,1
38,0,NA,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,NA,1,NA,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,NA,0,NA,1,NA,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,1,NA,0,1
39,0,NA,1,0,1,0,NA,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,NA,NA,0,1,NA,0,0,1,NA,0,0,0,1,1,0,0,1,1,1,NA,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,NA,1,0,1,1,1,0,0,0,0,NA,0,0,0,1,0,1,0,1,1,0,NA,1,1,1,0,1,0,1,0,0,0,0,1,1,1,NA,1,0,NA,0,0
40,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,NA,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,NA,0,0
41,0,NA,0,0,0,1,NA,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,NA,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,NA,0,NA,0,NA,1,1,1,0,1,1,NA,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,NA,0,0,NA,0,1
42,1,NA,0,0,1,1,0,0,0,1,0,0,NA,0,0,0,1,1,0,0,0,1,0,0,0,0,NA,1,0,1,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,1,1,NA,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,NA,0,NA,0,NA,1,0,0,1,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,0,0,1,0
43,0,NA,0,0,0,1,NA,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,NA,0,0,0,0,1,0,NA,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,NA,0,NA,NA,NA,1,NA,1,1,0,1,0,0,NA,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,NA,0,0,NA,0,1
44,0,NA,0,0,1,0,NA,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,NA,0,1,0,0,NA,NA,NA,1,NA,0,1,1,1,0,0,NA,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,NA,0,1,NA,1,0
45,1,NA,1,0,1,0,NA,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,NA,1,NA,1,1,NA,0,NA,0,NA,0,0,0,1,0,0,0,0,1,0,1,1,1,NA,0,0,0,1,1,1,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,1,1,1,0,NA,NA,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,NA,0,1,1,0,1,NA,1,0,NA,0,0
46,0,NA,0,0,0,1,0,NA,NA,NA,0,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,NA,NA,1,NA,1,1,1,0,0,NA,NA,1,NA,NA,0,0,0,NA,1,NA,NA,0,0,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,1,0,1,NA,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA,1,NA,1,0,1,NA
47,0,NA,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,NA,1,1,1,1,0,0,NA,1,NA,0,0,0,0,0,1,1,1,0,1,1,0,NA,0,1,0,0,1,0,1,0,NA,NA,1,0,0,NA,0,NA,0,NA,0,1,0,NA,0,NA,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,NA,NA,1,0,0,0,0,1,1,1,NA,0,0,0,NA,0,0
48,1,NA,0,1,1,0,NA,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,NA,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,NA,1,0,1,0,NA,NA,0,1,0,1,0,1,1,0,1,NA,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,NA,1,0,NA,NA,0
49,0,NA,0,1,0,1,NA,0,0,1,0,0,1,1,1,0,1,1,NA,0,1,1,1,0,0,1,NA,1,NA,1,1,NA,0,NA,1,NA,0,1,0,1,NA,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,NA,NA,0,0,NA,0,1,0,1,1,1,NA,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,NA,1,0,NA,1,1
50,0,NA,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,NA,0,NA,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,NA,0,NA,0,NA,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0
51,0,NA,1,0,1,NA,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,NA,0,0,1,0,NA,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,NA,NA,0,0,NA,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,NA,1,1
52,1,NA,0,1,1,0,NA,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,NA,1,0,0,0,0,1,NA,0,NA,0,0,0,0,0,1,1,0,0,1,0,1,NA,1,1,1,0,0,1,1,1,0,NA,0,1,1,NA,NA,NA,0,NA,1,1,1,0,0,NA,NA,1,0,0,NA,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,NA,NA,0,0
53,0,NA,1,0,NA,0,1,0,0,1,0,0,NA,1,0,0,NA,1,0,0,0,NA,NA,NA,NA,1,NA,1,0,0,0,NA,0,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,1,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,NA,0,0,NA,0,1,0,0,NA,NA,1,0,0,1,NA,0,NA,NA,0,0,0,NA,1,1,0,NA,NA,0,NA,NA,NA,0,1
55,0,NA,1,1,0,1,NA,0,1,1,0,0,NA,1,1,0,1,1,1,1,1,0,0,0,0,1,NA,1,NA,0,0,NA,1,0,0,NA,0,NA,NA,1,0,1,1,1,1,1,0,1,0,NA,0,0,0,1,0,1,1,NA,0,1,0,0,NA,NA,NA,0,NA,1,1,1,NA,0,NA,NA,NA,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,NA,1,1,1,1,NA,NA,0,0,NA,1,0
57,0,NA,1,0,1,0,NA,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,NA,1,NA,0,1,0,0,NA,1,NA,0,1,1,1,1,1,0,1,1,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,0,NA,NA,NA,0,NA,1,0,1,NA,1,NA,NA,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,NA,NA,1,0,NA,0,1,0,NA,0,NA,1,0,NA,NA,1
58,1,NA,1,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,NA,1,0,0,NA,NA,NA,1,NA,0,1,1,1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,NA,NA,0,1,1,1,1,NA,1,0,NA,1,0
59,0,NA,1,0,1,0,NA,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,NA,1,NA,1,1,0,1,NA,0,NA,0,0,1,1,0,0,0,1,0,1,NA,1,NA,1,0,0,0,0,1,NA,0,1,0,0,0,1,NA,NA,NA,1,NA,1,0,0,1,0,NA,NA,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,NA,1,1,1,1,1,NA,0,0,NA,1,1
60,0,NA,0,0,1,0,NA,0,1,0,0,0,0,1,1,0,1,1,0,0,1,NA,0,0,0,1,NA,1,1,0,0,1,1,NA,1,NA,0,0,1,0,1,0,1,1,0,0,NA,0,NA,0,0,0,0,1,1,0,0,NA,1,1,0,0,NA,NA,NA,0,NA,0,NA,0,1,0,NA,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,NA,0,0,1,1,NA,0,NA,1,1,0,0,0,0,NA,1,0
61,0,NA,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,NA,1,0,NA,1,NA,1,NA,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,NA,1,1,0,0,NA,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,0,NA,NA,0,0
62,0,NA,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,NA,0,1,1,0,0,0,1,0,1,0,1,1,1,1,NA,0,NA,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,NA,NA,0,1,NA,0,NA,1,1,0,0,NA,NA,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,NA,1,0,NA,NA,1,0
63,0,NA,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,NA,1,NA,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,NA,0,0,0,NA,0,NA,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,NA,0
64,0,NA,1,0,NA,0,0,0,0,1,0,1,NA,1,0,NA,1,0,0,0,0,1,0,0,NA,0,NA,1,0,0,0,0,0,NA,0,NA,1,NA,1,1,0,1,1,1,0,NA,NA,NA,1,0,0,0,0,0,1,0,1,NA,0,NA,1,0,NA,0,NA,0,NA,1,1,1,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0,1,NA,NA,NA,0,NA,1,0,NA,0,0,1,0,0,NA,0,1,NA,1,0
